name,address,rating,user_ratings_total,price_level,business_status,lat,lng,open_now
Beauty School Alicante,"Av. de Ramón y Cajal, 13, Alicante",5.0,1,,OPERATIONAL,38.3392096,-0.4894039,False
Colegio Sgda Familia En Alicante Siervas de San José Prov San Agustín,"C. Francisco Carratalá Cernuda, 13, Alicante",4.0,1,,OPERATIONAL,38.3575925,-0.4863442,N/A
CEIP 9 d'Octubre,"C. Pinoso, 27, Alicante",4.1,14,,OPERATIONAL,38.3596439,-0.480943,N/A
Colegio San Jose De Carolinas Privado Concertado,"Carrer Garbinet, Alacant",3.3,3,,OPERATIONAL,38.3601088,-0.4806207,False
Centre Privat D'Ensenyament Calasancio,"Avinguda de Dénia, 76, Alacant",4.3,6,,OPERATIONAL,38.3582731,-0.4683717,N/A
CEIP Carlos Arniches,"C/ Alonso Cano, 19, Alacant",3.8,25,,OPERATIONAL,38.3638539,-0.4807249,N/A
Centro Privado de Educación Infantil Gran Vía Parque Aventura,"L, Avenida Pintor Xavier Soler, 13, Alicante",4.8,48,,OPERATIONAL,38.3633033,-0.4669329,True
CEIP Florida,"C. Pianista Gonzalo Soriano, 3, Alicante",4.5,18,,OPERATIONAL,38.3398191,-0.5090217,N/A
Colegio Diocesano Nuestra Señora de los Ángeles,"C. Pardo Bazán, 8, Alicante",4.3,13,,OPERATIONAL,38.3659672,-0.4949455,True
"Colegio Concertado Santa María del Carmen, de Alicante","C. Madre Elisea Oliver, 2, Alicante",3.7,46,,OPERATIONAL,38.3624503,-0.5014601,True
Salesians d'Alacant - Escola Maria Auxiliadora,"Av. Isla de Corfú, nº7, Alicante",3.7,60,,OPERATIONAL,38.3575226,-0.5074076,True
Colegio Jesús-María,"Carrer d'Algol, 33, Alacant",4.7,58,,OPERATIONAL,38.3477233,-0.5138961,True
Primary School Rafael Altamira Alicante,"C. Sociedad Cultural Deportiva Betis Florida, s/n, Alicante",4.5,21,,OPERATIONAL,38.3407202,-0.5146338,N/A
Col·legi Sant Agustí,"C. Pintor Pedro Camacho, 2, Alicante",4.3,95,,OPERATIONAL,38.3715468,-0.4759525,True
Centro Privado de Enseñanza Médico Pedro Herrero,"C. Víctor de la Serna, 37, Alicante",4.3,46,,OPERATIONAL,38.3497262,-0.5163681999999999,True
CEIP El Palmerar,"Carrer Portet de Moraira, 2, Alacant",4.7,14,,OPERATIONAL,38.3309308,-0.5123227000000001,True
Colegio Ángel de la Guarda,"C/ Andalusia, 17- 20, Alacant",4.2,84,,OPERATIONAL,38.366692,-0.45439,True
