name,address,rating,user_ratings_total,price_level,business_status,lat,lng,open_now
Supermercado productos latino,"Calle Pablo Iglesias, 1, Alicante (Alacant)",4.2,30.0,,OPERATIONAL,38.3473117,-0.4880522999999999,True
Supermercado M nadeem,Alicante,5.0,2.0,,OPERATIONAL,38.3473231,-0.4880823,True
seleven alimentacion y bebida,"Carrer Poeta Quintana, 9 Iz, Alacant",4.0,8.0,,OPERATIONAL,38.34822339999999,-0.4876041999999999,True
Supermercado Gourmedian,"Avenida Alfonso El Sabio, 35, Alicante (Alacant)",4.0,22.0,,OPERATIONAL,38.34651579999999,-0.4888581,True
Supermercado Toda Familia Express,"Avenida del Doctor Gadea, Alicante (Alacant)",4.3,44.0,,OPERATIONAL,38.3424808,-0.4884324,True
Unión Castellana de Alimentación S.A.,"Calle Madrid, 0, Alicante (Alacant)",,,,OPERATIONAL,38.34882339999999,-0.4742073000000001,True
Supermercado El Corte Inglés,"PB - Supermercado, Alacant",4.6,80.0,,OPERATIONAL,38.343825,-0.489802,True
TEPEMOK,"Calle José Gutiérrez Petén, 45, Alicante (Alacant)",5.0,1.0,,OPERATIONAL,38.3497174,-0.4878974,True
Mercat Ibiza,Alicante,,,,CLOSED_TEMPORARILY,38.3484907,-0.4891765,N/A
La Botiga Del Raval,"Calle de la Virgen del Socorro, 77, Alicante (Alacant)",,,,OPERATIONAL,38.34996389999999,-0.4743183,True
Sellés Supermercat,"Plaza Músico Óscar Tordera Iñesta, 4, Alicante (Alacant)",4.9,20.0,,OPERATIONAL,38.3490886,-0.4889356999999999,True
Supermercado Wenzhou,"2º, Carrer Italia, 15, Alacant",4.5,640.0,,OPERATIONAL,38.3411969,-0.4891872999999999,True
Supermercado Nimasnimenos,"Calle Belando, 26, Alicante (Alacant)",4.6,57.0,,OPERATIONAL,38.3483276,-0.4896097,True
PEPCO,"Calle Reyes Católicos, 29, Alicante (Alacant)",4.3,2647.0,,OPERATIONAL,38.34202330000001,-0.4907614,True
Seleven Sharjeel alimentación,"Calle Padre Mariana, 46, Alicante (Alacant)",5.0,4.0,,OPERATIONAL,38.3514116,-0.4878071,True
SUPERMARKET ALCALDE ALFONSO ROJAS,"Calle del Alcalde Alfonso de Rojas, 6, Alicante (Alacant)",4.8,15.0,,OPERATIONAL,38.3521332,-0.4867078999999999,True
