name,address,rating,user_ratings_total,price_level,business_status,lat,lng,open_now
Escuela Infantil Municipal Rosa Fernández,"C/ Taronger, 47, Elx",5.0,10,,OPERATIONAL,38.2628862,-0.6796763,True
CEIP Vicente Blasco Ibáñez,"Avinguda de les Corts Valencianes, 20, Elche",4.6,13,,OPERATIONAL,38.2695323,-0.718943,True
CEIP Jaume Balmes,"Carrer Alfredo Sánchez Torres, 10, Elx",4.4,19,,OPERATIONAL,38.27800500000001,-0.7117259,True
CEIP Jaume I,"Carrer Manuel Campello Ruiz, 0, Elx",4.0,14,,OPERATIONAL,38.2739826,-0.7164712999999999,True
CEIP Les Arrels,"Carrer Tamarit, 4, Elx",4.8,12,,OPERATIONAL,38.2641134,-0.6781699999999999,True
CEIP Eugeni d'Ors,"Carrer Alfredo Sánchez Torres, 10, Elx",4.5,19,,OPERATIONAL,38.278467,-0.7119725,True
CEIP Miguel Hernández,"Av. de Santa Pola, S/N, Elche",3.3,3,,OPERATIONAL,38.2622005,-0.6781548,True
Salesians Elx | Col·legi Sant Josep Artesà,"Av. de Don Bosco, 14, Elche",4.3,38,,OPERATIONAL,38.2512985,-0.712712,False
CEIP Clara Campoamor,"Av. U.N.E.S.C.O, 3, Elche",3.8,19,,OPERATIONAL,38.276197,-0.6811919,True
Escola Infantil de Primer Cicle Aitana,"Carrer Almansa, 29, Elx",3.4,10,,OPERATIONAL,38.2794724,-0.7172375999999999,True
La Devesa School Elche - Colegio,"Carrer Joan Fuster, 13, Elx",3.9,77,,OPERATIONAL,38.2684707,-0.6723681,True
Col·legi Nostra Senyora del Carmen,"Cam. de Matola, km 2, Elche",4.1,34,,OPERATIONAL,38.2476055,-0.7184478999999999,True
Colegio Carmelitas Misioneras Teresianas,Elche,4.3,6,,OPERATIONAL,38.2478047,-0.7187393,N/A
Escuela Infantil Bilingüe Lysmon Altabix Elche,"Avinguda de la Universitat d'Elx, 37, Elche",5.0,17,,OPERATIONAL,38.2729518,-0.6709029000000001,True
CEIP la Galia,"Partida Altabix, 174, polígono 1, Elx",2.9,9,,OPERATIONAL,38.2863952,-0.6856422,True
